City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
314,Camopi,GF,75.2,light rain,3.17,-52.32,
315,Pachino,IT,78.8,overcast clouds,36.72,15.09,Il Veliero
323,Starkville,US,71.6,clear sky,33.45,-88.82,Hilton Garden Inn Starkville
330,Mangrol,IN,79.97,clear sky,21.12,70.12,Hotel The Royal Honours
331,Matara,LK,78.57,light rain,5.95,80.54,Amaloh Boutique Resort
333,Botro,CI,75.2,clear sky,7.85,-5.31,Motel de la Station BOTRO
334,Kalakamati,BW,77.07,broken clouds,-20.59,27.31,
337,Cardston,CA,77.0,scattered clouds,49.2,-113.3,Flamingo Motel
341,Epe,NG,75.61,overcast clouds,6.58,3.98,MAGVILLE HOTEL
343,Balad,IQ,78.67,clear sky,34.02,44.15,رضاوي زنوبة
348,Tura,IN,73.49,scattered clouds,25.52,90.22,Hotel RIKMAN Continental
352,Duncan,US,77.0,clear sky,34.5,-97.96,Days Inn by Wyndham Duncan
354,Port-Gentil,GA,78.8,scattered clouds,-0.72,8.78,Fengshui Residence
356,Sapouy,BF,76.01,broken clouds,11.55,-1.77,Auberge St Louis
360,Nara,JP,71.01,broken clouds,34.69,135.8,Guesthouse Nara Komachi
365,Manado,ID,75.2,few clouds,1.49,124.85,Aryaduta Hotel
369,Pilar,BR,77.0,few clouds,-9.6,-35.96,Pousada e churrascaria Manguaba
371,Maningrida,AU,75.25,overcast clouds,-12.07,134.27,Dhukurrdji Lodge
375,Sampit,ID,73.69,overcast clouds,-2.53,112.95,Aquarius Boutique Hotel Sampit
379,Portales,US,71.6,clear sky,34.19,-103.33,Holiday Inn Express & Suites Portales
381,Bhachau,IN,79.45,clear sky,23.28,70.35,Hotel Shiv International
385,Katherine,AU,78.8,broken clouds,-14.47,132.27,Pine Tree Motel
387,Gamba,GA,77.16,overcast clouds,-2.65,10.0,
388,Poya,NC,74.97,clear sky,-21.35,165.15,
392,Ghotki,PK,78.8,mist,28.01,69.32,Mohalla Old Bazar
400,Boende,CD,73.4,clear sky,-0.22,20.87,
403,Inirida,CO,76.41,light rain,3.87,-67.92,Fuente del Guania Hotel de Lujo
406,Itarema,BR,78.87,overcast clouds,-2.92,-39.92,Windvillage
409,Prado,BR,75.24,scattered clouds,-17.34,-39.22,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
411,Pindiga,NG,72.81,few clouds,9.98,10.93,Accommodation Center
413,Taitung,TW,73.4,few clouds,22.76,121.14,Taitung Bali Suites Hotel
417,Biak,ID,78.98,overcast clouds,-0.91,122.88,Kost Ariz
419,Cajnice,BA,77.0,overcast clouds,43.56,19.07,Hotel Čajniče
421,Lhokseumawe,ID,77.22,overcast clouds,5.18,97.15,OYO 3278 Penginapan Alfajri
423,Poum,NC,70.5,clear sky,-20.23,164.02,Gîte kajeon
424,Neiafu,TO,78.8,broken clouds,-18.65,-173.98,Mystic Sands
428,Olinda,BR,78.8,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
440,Moroni,KM,75.47,clear sky,-11.7,43.26,Hotel les Arcades
444,Waingapu,ID,79.99,overcast clouds,-9.66,120.26,Pondok Wisata Elim
445,Gangapur,IN,74.19,clear sky,26.48,76.72,Hotel Haveli & Restaurant
450,Sainte-Marie,RE,71.6,broken clouds,-20.9,55.55,Les pailles en queue de Sainte Marie
455,Matay,EG,72.86,clear sky,28.42,30.78,Nag Aespen
462,Quelimane,MZ,73.0,broken clouds,-17.88,36.89,Hotel Flamingo
469,Emerald,AU,71.6,scattered clouds,-23.53,148.17,The Irish Village
472,Myitkyina,MM,73.15,scattered clouds,25.38,97.4,Shwe Phyu Hotel
474,Zemio,CF,70.57,light rain,5.03,25.14,
477,Naze,JP,78.8,few clouds,28.37,129.48,奄美ポートタワーホテル
478,Axim,GH,75.65,scattered clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
480,Boyolangu,ID,75.31,overcast clouds,-8.12,111.89,Yos ega cv
488,Letlhakane,BW,79.52,scattered clouds,-21.42,25.58,Motswedi Hotel P650
489,Dawei,MM,75.9,overcast clouds,14.08,98.2,Hotel Dawei
490,Xiongzhou,CN,74.5,scattered clouds,25.12,114.3,Xinhewan Business Hotel
496,Kupang,ID,77.0,few clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
505,Christchurch,NZ,73.4,overcast clouds,-43.53,172.63,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
507,Kingaroy,AU,70.0,scattered clouds,-26.53,151.83,Ascot Motel Kingaroy
509,Kiama,AU,71.01,broken clouds,-34.68,150.87,The Sebel Kiama Harbourside
519,Belmonte,BR,77.0,scattered clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
524,Osoyoos,CA,77.0,clear sky,49.03,-119.45,Watermark Beach Resort Hotel
529,Fukuma,JP,70.0,broken clouds,33.77,130.47,Masago
530,Harper,LR,77.02,broken clouds,4.38,-7.72,Screensaver
531,Maroantsetra,MG,71.11,broken clouds,-15.43,49.73,La Pagode
535,Mirabela,BR,79.61,clear sky,-16.26,-44.16,Mirassol - Hotel e Restaurante
536,Tezu,IN,75.76,broken clouds,27.92,96.17,Circuit House
537,Nocupetaro,MX,78.1,clear sky,19.05,-101.15,Plaza nocupetaro
539,Aiken,US,70.0,clear sky,33.58,-81.6,Aiken Cottages
