,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
84,Maharajganj,IN,27.13,83.57,87.8,84,40,3.36,mist
85,Castro,BR,-24.79,-50.01,70.59,46,0,2.51,clear sky
86,Thompson,CA,55.74,-97.86,33.8,87,75,1.81,broken clouds
87,Kapaa,US,22.08,-159.32,82.4,69,1,8.05,clear sky
88,Chabahar,IR,25.29,60.64,84.2,79,0,3.09,clear sky
89,Mangrol,IN,21.12,70.12,84.22,72,76,9.62,broken clouds
90,Jamestown,US,42.1,-79.24,46.0,93,40,6.93,mist
91,Yellowknife,CA,62.46,-114.35,42.8,81,75,8.05,broken clouds
92,Flinders,AU,-34.58,150.86,78.01,45,0,4.0,clear sky
93,Cantaura,VE,9.31,-64.36,74.48,91,58,10.38,broken clouds
94,Port-Gentil,GA,-0.72,8.78,76.62,79,63,9.53,broken clouds
95,Mangan,IN,27.52,88.53,85.71,40,16,5.91,few clouds
96,Nioro,GM,13.35,-15.75,75.51,95,43,5.93,scattered clouds
97,Pevek,RU,69.7,170.31,36.28,80,100,13.11,overcast clouds
98,Evensk,RU,61.95,159.23,47.32,53,0,1.99,clear sky
99,Olinda,BR,-8.01,-34.86,78.8,74,75,11.41,broken clouds
100,Inhambane,MZ,-23.86,35.38,73.62,83,86,4.79,overcast clouds
101,Esperance,AU,-33.87,121.9,68.0,64,75,14.99,broken clouds
102,Mosquera,CO,4.71,-74.23,50.83,83,29,2.62,scattered clouds
103,Deputatskiy,RU,69.3,139.9,28.69,90,97,3.96,overcast clouds
104,Ostrovnoy,RU,68.05,39.51,46.6,88,100,16.31,overcast clouds
105,Takoradi,GH,4.88,-1.76,74.5,90,41,5.35,scattered clouds
106,Shediac,CA,46.22,-64.54,57.2,87,75,8.05,broken clouds
107,Kruisfontein,ZA,-34.0,24.73,55.99,81,89,5.99,overcast clouds
108,Pochutla,MX,15.74,-96.47,73.0,91,44,3.29,scattered clouds
109,Atambua,ID,-9.11,124.89,86.74,45,24,4.32,few clouds
110,Bahawalpur,PK,29.4,71.68,95.02,15,0,6.31,clear sky
111,Ulagan,RU,50.63,87.96,42.1,55,56,1.43,broken clouds
112,Rawson,AR,-43.3,-65.1,39.25,71,35,18.48,scattered clouds
113,Eyl,SO,7.98,49.82,82.13,65,22,13.24,few clouds
114,Lethem,GY,3.38,-59.8,80.35,62,62,2.64,broken clouds
115,Riachao,BR,-7.36,-46.62,77.97,33,97,6.53,overcast clouds
116,Saint-Philippe,RE,-21.36,55.77,77.0,65,3,4.7,clear sky
117,Presevo,RS,42.31,21.65,43.0,93,0,2.21,clear sky
118,Katsuura,JP,35.13,140.3,82.99,64,20,5.82,few clouds
119,Carnarvon,AU,-24.87,113.63,73.4,60,49,13.87,scattered clouds
120,Doha,QA,25.29,51.53,95.0,59,0,5.82,clear sky
121,Atar,MR,20.52,-13.05,85.82,25,0,10.47,clear sky
122,Rabak,SD,13.18,32.74,79.61,66,0,9.71,clear sky
123,Nanortalik,GL,60.14,-45.24,38.57,88,100,15.35,light rain
124,Aswan,EG,24.09,32.91,86.43,22,1,10.33,clear sky
125,Georgetown,MY,5.41,100.34,80.6,78,20,3.36,few clouds
126,Talnakh,RU,69.49,88.4,33.8,100,75,6.71,fog
127,Saryg-Sep,RU,51.5,95.6,39.4,65,95,3.24,overcast clouds
128,Ilulissat,GL,69.22,-51.1,35.6,69,100,9.17,overcast clouds
129,Aromashevo,RU,56.86,68.64,53.28,74,69,8.14,broken clouds
130,Moussoro,TD,13.64,16.49,84.18,47,0,7.29,clear sky
131,Sinnamary,GF,5.38,-52.95,78.75,83,18,5.3,light rain
132,Natal,BR,-5.79,-35.21,73.4,88,40,2.24,scattered clouds
133,Brainerd,US,46.36,-94.2,41.0,69,90,3.36,overcast clouds
134,Bredasdorp,ZA,-34.53,20.04,57.2,62,90,20.8,light rain
135,Buraydah,SA,26.33,43.98,75.2,31,0,2.68,clear sky
136,Yarmouth,US,41.71,-70.23,64.0,100,20,3.36,few clouds
137,Zelenoborskiy,RU,66.84,32.36,48.79,91,62,3.47,broken clouds
138,Saskylakh,RU,71.92,114.08,27.73,95,100,24.52,light snow
139,Huilong,CN,31.81,121.66,82.99,59,4,1.01,clear sky
140,Mogadishu,SO,2.04,45.34,80.6,69,75,12.75,broken clouds
141,Koslan,RU,63.46,48.9,46.56,89,93,4.29,overcast clouds
142,Palana,RU,59.12,159.97,42.96,77,0,8.97,clear sky
143,Chokurdakh,RU,70.63,147.92,33.51,83,99,1.74,overcast clouds
144,Bandarbeyla,SO,9.49,50.81,79.43,77,30,15.39,scattered clouds
145,Coquimbo,CL,-29.95,-71.34,50.0,87,1,2.24,clear sky
146,Orangeburg,US,33.49,-80.86,63.0,93,1,4.7,clear sky
147,Ola,RU,59.58,151.28,49.28,62,0,7.63,clear sky
148,Hithadhoo,MV,-0.6,73.08,83.5,66,58,2.26,broken clouds
149,Khilchipur,IN,24.03,76.57,86.36,48,0,9.66,clear sky
150,Lulea,SE,65.58,22.15,46.4,100,90,1.12,fog
151,Qaanaaq,GL,77.48,-69.36,16.3,82,77,5.79,broken clouds
152,Cherskiy,RU,68.75,161.3,36.1,78,18,2.44,few clouds
153,Asau,RO,46.43,26.4,46.0,97,91,4.81,overcast clouds
154,Paracuru,BR,-3.41,-39.03,80.01,74,44,15.99,scattered clouds
155,Kalispell,US,48.2,-114.31,51.01,93,1,3.36,clear sky
156,Avarua,CK,-21.21,-159.78,77.0,88,0,13.87,clear sky
157,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,57.2,54,11,13.42,light rain
158,Yangambi,CD,0.81,24.43,69.96,99,99,1.54,moderate rain
159,Medea,DZ,36.26,2.75,57.2,87,0,2.24,clear sky
160,Aklavik,CA,68.22,-135.01,41.0,86,40,5.82,scattered clouds
161,Bataipora,BR,-22.3,-53.27,81.09,27,62,1.68,broken clouds
162,Uarini,BR,-2.99,-65.11,72.39,97,89,0.58,overcast clouds
163,Fuyang,CN,32.9,115.82,72.0,77,100,9.17,light rain
164,Pangabuan,PH,8.06,123.7,90.0,62,51,4.05,broken clouds
165,Hofn,IS,64.25,-15.21,44.47,56,76,4.23,broken clouds
166,Avera,US,33.19,-82.53,64.4,100,1,5.82,clear sky
167,Scarborough,GB,54.28,-0.4,46.0,100,33,3.36,mist
168,Gumdag,TM,39.21,54.59,66.96,23,0,17.25,clear sky
169,Ambilobe,MG,-13.2,49.05,81.99,56,1,3.56,clear sky
170,Winnemucca,US,40.97,-117.74,55.4,17,1,3.36,clear sky
171,Bengkulu,ID,-3.8,102.27,76.06,87,99,9.6,overcast clouds
172,Kolda,SN,12.88,-14.95,74.88,97,15,6.71,few clouds
173,Kirksville,US,40.19,-92.58,43.0,93,1,3.36,clear sky
174,Kodiak,US,57.79,-152.41,51.8,87,90,29.97,moderate rain
175,Solwezi,ZM,-12.17,26.39,63.97,42,4,1.61,clear sky
176,Isangel,VU,-19.55,169.27,70.63,88,100,13.47,moderate rain
177,Springbok,ZA,-29.66,17.89,42.6,88,72,8.66,broken clouds
178,Baruun-Urt,MN,46.68,113.28,42.12,63,83,13.11,broken clouds
179,Markova,UA,48.68,24.41,50.36,89,99,2.48,overcast clouds
180,Warrensburg,US,38.76,-93.74,44.6,81,1,4.7,clear sky
181,Helong,CN,42.54,129.0,63.81,53,47,4.14,scattered clouds
182,Kachiry,KZ,53.07,76.1,51.8,67,100,5.59,overcast clouds
183,Naryan-Mar,RU,67.67,53.09,47.14,92,100,16.75,light rain
184,Harper,LR,4.38,-7.72,76.03,89,95,9.33,light rain
185,Balkanabat,TM,39.51,54.37,70.16,21,0,8.7,clear sky
186,Alofi,NU,-19.06,-169.92,78.8,94,87,1.12,overcast clouds
187,Dibulla,CO,11.27,-73.31,77.79,80,74,5.68,broken clouds
188,Chara,RU,56.91,118.26,34.47,88,100,4.12,overcast clouds
189,Ratchaburi,TH,13.58,99.53,90.9,57,54,3.18,broken clouds
190,Umba,RU,66.69,34.34,45.34,93,6,3.74,clear sky
191,Tuatapere,NZ,-46.13,167.68,61.0,52,99,11.99,moderate rain
192,Wanlaweyn,SO,2.62,44.89,80.6,72,58,10.49,broken clouds
193,Kulhudhuffushi,MV,6.62,73.07,82.24,75,9,10.29,clear sky
194,Mao,ES,39.89,4.27,71.6,83,75,18.34,broken clouds
195,Mazagao,BR,-0.12,-51.29,80.6,88,20,3.36,few clouds
196,Havoysund,NO,71.0,24.66,46.4,87,75,5.82,broken clouds
197,Atasu,KZ,48.68,71.64,50.94,49,2,10.51,clear sky
198,Gat,IL,31.61,34.76,73.99,91,0,1.01,clear sky
199,Westport,US,41.14,-73.36,64.4,59,90,7.18,overcast clouds
200,Sembe,CG,1.65,14.58,67.1,95,83,1.28,broken clouds
201,Basco,PH,20.45,121.97,81.88,69,0,17.69,clear sky
202,Hovd,MN,48.01,91.64,36.18,71,75,8.72,broken clouds
203,Kloulklubed,PW,7.04,134.26,84.2,74,90,6.93,shower rain
204,Lebu,CL,-37.62,-73.65,44.91,84,3,6.53,clear sky
205,Namibe,AO,-15.2,12.15,62.64,86,24,3.56,few clouds
206,Kerouane,GN,9.27,-9.02,68.45,93,96,1.7,overcast clouds
207,Airai,TL,-8.93,125.41,78.44,45,19,7.56,few clouds
208,Idar,DE,49.72,7.3,48.99,100,75,10.29,fog
209,Partenit,UA,44.58,34.34,64.72,66,0,5.03,clear sky
210,Grand-Santi,GF,4.25,-54.38,71.73,96,85,2.3,overcast clouds
211,Binabalian,PH,16.42,119.93,85.3,72,97,5.3,overcast clouds
212,Dingle,PH,11.0,122.67,86.72,72,67,4.76,light rain
213,Shangqiu,CN,34.45,115.65,71.01,72,100,14.83,light rain
214,Peniche,PT,39.36,-9.38,64.99,91,100,17.0,overcast clouds
215,Kidal,ML,18.44,1.41,86.83,39,10,3.85,clear sky
216,Manzanillo,CU,20.34,-77.12,77.11,85,100,0.54,light rain
217,Dzaoudzi,YT,-12.79,45.27,78.8,83,20,3.36,few clouds
218,Vanino,RU,49.09,140.25,57.13,57,7,6.42,clear sky
219,Upernavik,GL,72.79,-56.15,23.02,92,6,15.5,clear sky
220,Kirakira,SB,-10.45,161.92,83.07,67,26,7.18,scattered clouds
221,Whitehorse,CA,60.72,-135.05,48.2,57,20,12.75,few clouds
222,Hamilton,US,39.18,-84.53,50.0,70,1,8.05,clear sky
223,Beloha,MG,-25.17,45.05,73.62,59,30,7.34,scattered clouds
224,Tuktoyaktuk,CA,69.45,-133.04,41.0,93,90,10.29,light rain
225,Aykhal,RU,66.0,111.5,26.6,58,15,6.71,few clouds
226,Oksbol,DK,55.63,8.29,57.2,93,98,9.17,overcast clouds
227,Ozernovskiy,RU,51.5,156.52,50.02,79,28,9.98,scattered clouds
228,Iqaluit,CA,63.75,-68.51,28.4,79,75,12.75,broken clouds
229,Provideniya,RU,64.38,-173.3,39.2,93,90,17.9,overcast clouds
230,Narsaq,GL,60.92,-46.05,37.4,90,100,14.99,light rain
231,Khulna,BD,22.81,89.57,88.41,71,93,8.14,overcast clouds
232,Onega,RU,63.91,38.14,46.62,89,39,0.65,scattered clouds
233,Siyabuswa,ZA,-25.11,29.04,65.86,73,61,24.07,light rain
234,Toora-Khem,RU,52.47,96.11,36.18,71,79,6.4,broken clouds
